Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,,Tipo de Violência,Type of Violence
Pará,Eldorado dos Carajás,Terra,"Bloq. PA-150 Curva do ""S""","17Anos do Massacre",17/4/2013,2000,,Incentivos à pequena produção/ Contra impunidade/ Reforma Agrária,Incentives for small production/Contra impunity/Agrarian Reform,,,
Pará,Irituia,Terra,Bloq. BR-010,"P. A. LuísCarlos Prestes",15/2/2013,300,,Crédito/ Infraestrutura/ Educação/ Saúde,Credit/Infrastructure/Education/Health,,,
Pará,Itaituba,Terra,"Bloq. daTransamazônica","Instalaçãodo Incra",21/10/2013,500,,Reforma Agrária/ Políticas públicas,Agrarian Reform/Public Policies,,,
Pará,Itaituba,Terra,Bloqueio da BR-163,,30/10/2013,360,,Regularização fundiária/ Infraestrutura/ Cumprimento de acordos/ Políticas p ú b  l ic a s,Land regularization/Infrastructure/Compliance with agreements/P ublic policies,,,
Pará,Marabá,Terra,Bloq. BR-155,"Faz.Cedro",25/7/2013,,,Reforma Agrária,Land reform,,,
Pará,Novo Progresso,Questão Indígena,Bloq. BR-163,"Contra PEC215",12/6/2013,400,,Questões ambientais/ Demarcação de área indígena,Environmental Issues/Indigenous Area Demarcation,,,
Pará,Santa Maria das Barreiras,Terra,Bloq. BR-155,Casa de Tábua,2/9/2013,300,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Pará,São Geraldo do Araguaia,Direitos Humanos,"Bloq. BR-222 eBR-153","Várias AldeiasIndígenas",21/5/2013,100,,Saúde,Cheers,,,
Pará,Sapucaia,Terra,Bloq. BR-155,"Acamp. JoãoCanuto",8/3/2013,150,,Contra a injustiça e a violência/ Direitos humanos,Against injustice and violence/Human rights,,,
Pará,Sapucaia,Terra,Bloq. da BR-155,"Acamp.João Canuto",12/9/2013,100,,Contra a injustiça e a violência/ Reforma Agrária/ Políticas p ú b  l ic a s,Against injustice and violence/Agrarian Reform/P a b ic ic policies,,,
Pará,Tailândia,Terra,Bloq. PA-150,"Faz. Sta.Marta",6/11/2013,250,,Contra a injustiça e a violência/ Reforma Agrária/ Políticas p ú b  l ic a s,Against injustice and violence/Agrarian Reform/P a b ic ic policies,,,
Pará,Tucuruí,Água,Bloq. BR-422,UHE Tucuruí,28/6/2013,,,Infraestrutura/ Cumprimento de acordos,Infrastructure/Compliance,,,
Pará,Tucuruí,Água,Bloq. BR-422,"UHE deTucuruí",1/7/2013,1000,,Infraestrutura/ Cumprimento de acordos,Infrastructure/Compliance,,,
Paraíba,Caaporã,Terra,Bloq. BR-101,Us. Maravilha,9/8/2013,1000,,Reforma Agrária,Land reform,,,
Paraíba,Caaporã,Terra,Bloq. BR-101,Us. Maravilha,10/10/2013,1500,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Paraíba,Caaporã,Terra,Bloq. BR-101,Us. Maravilha,10/11/2013,,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Paraíba,Caaporã,Terra,Bloq. BR-101,"Jornada deLuta das Mulheres",8/3/2013,20,,Incentivos à pequena produção/ Contra Transgênicos/ Reforma Agrária/ Contra agrotóxicos,Incentives for small production/Against GMOs/Agrarian Reform/Against agrochemicals,,,
Paraíba,Caaporã,Terra,Bloq. BR-101,"Protesto porRef. Agrária",11/7/2013,200,,Reforma Agrária/ Políticas públicas,Agrarian Reform/Public Policies,,,
Paraíba,Cajazeiras,Água,"Bloq. da Estrada deBoqueirão",,16/9/2013,,,Incentivos à pequena produção/ Água/ Políticas p ú b  l ic a s,Incentives for small-scale production/Water/Public policies,,,
Paraíba,Catingueira,Terra,Bloq. BR-361,"Protesto porRef. Agrária",11/7/2013,150,,Reforma Agrária/ Políticas públicas,Agrarian Reform/Public Policies,,,
Paraíba,Condado,Terra,Bloq. BR-230,"Jornada deLuta das Mulheres",8/3/2013,,,Reforma Agrária/ Soberania alimentar/ Contra agrotóxicos,Agrarian Reform/Food Sovereignty/Against Agrochemicals,,,
Paraíba,Sapé,Política Agrícola,Bloq. BR-230,"Manutenção daColetoria de Sapé",30/8/2013,,,Incentivos à pequena produção/ Políticas p ú b  l ic a s,Incentives for small-scale production/P ublic policies,,,
Paraíba,Solânea,Terra,Bloq. PB-105,Faz. Salgado,19/3/2013,,,Cesta básica/ Reforma Agrária,Basic basket/Agrarian Reform,,,
Paraíba,Sousa,Terra,Bloq. BR-230,"Proj, Irrig.Várzeas de Souza",21/10/2013,,,Reforma Agrária/ Água,Agrarian Reform/Water,,,
Paraíba,Sousa,Terra,Bloq. BR-230,"Protesto porRef. Agrária",11/7/2013,150,,Reforma Agrária/ Políticas públicas,Agrarian Reform/Public Policies,,,
Paraná,Alto Paraíso,Terra,"Bloq. BR-487 Faz. SãoFrancisco","Nossa Sra. dasGraças",8/7/2013,750,,Desapropriação/ Assentamento de famílias,Expropriation/Settlement of families,,,
Paraná,Arapongas,Terra,Bloq. da BR- 369,"Jorn. Nac.Memória Eldorado Carajás",17/4/2013,300,,Contra a injustiça e a violência/ Reforma Agrária/ Contra agrotóxicos,Against injustice and violence/Agrarian Reform/Contra agrotóxicos,,,
Paraná,Capanema,Água,"Bloq. Estrada de Acesso aUHE Baixo Iguaçu",,14/7/2013,,,Indenização/ Contra barragens,Compensation/Against dams,,,
Paraná,Jataizinho,Questão Indígena,Bloq. BR - 369," PovosIndígenas",10/7/2013,70,,Infraestrutura/ Saúde/ Demarcação de área indígena,Infrastructure/Health/Demarcation of indigenous area,,,
Paraná,São Jerônimo da Serra,Questão Indígena,Bloq. BR-369,"T. I. Barão deAntonina",19/6/2013,,,Infraestrutura/ Educação/ Saúde,Infrastructure/Education/Health,,,
Paraná,Tamarana,Questão Indígena,Bloq. PR-445,"T. I. Apucaranae Barão de Antonina",4/12/2013,,,Saúde/ Defesa da água e do meio ambiente,Health/Defense of water and the environment,,,
Pernambuco,Agrestina,Política Agrícola,Bloq. da BR-104,"Dia de Lutapor Soberania Alimentar",16/10/2013,200,,Contra Transgênicos/ Contra monocultura/ Soberania alimentar/ Contra agrotóxicos,Against GMOs/Against monoculture/Food sovereignty/Against agrochemicals,,,
Pernambuco,Agrestina,Terra,Bloq. BR-104,"Jornada Nac.de Luta por R. A.",17/4/2013,200,,Reforma Agrária,Land reform,,,
Pernambuco,Água Preta,Terra,Bloq. PE-96,"Jornada Nac. deLuta por R. A.",17/4/2013,300,,Reforma Agrária,Land reform,,,
Pernambuco,Águas Belas,Questão Indígena,Bloq. BR-232,"T. I. OyaTwutia Fulniô",5/4/2013,150,,Cumprimento de acordos/ Indenização/ Políticas públicas,Compliance/Indemnity/Public Policies,,,
Pernambuco,Belém de São Francisco,Questão Indígena,Bloq. BR-116,"Mob. Nac.Indígena contra PEC 215",5/10/2013,900,,Cumprimento de acordos/ Demarcação de área indígena/ Políticas p ú b  l ic a s,Compliance with agreements/Demarcation of the indigenous area/P ulb ic ic policies,,,
Pernambuco,Caruaru,Terra,Bloq. BR-104,"Jornada Nac.de Luta por R. A.",17/4/2013,250,,Reforma Agrária,Land reform,,,
Pernambuco,Escada,Terra,Bloq. BR-101,"Jornada Nac.de Luta por R. A.",17/4/2013,250,,Reforma Agrária,Land reform,,,
Pernambuco,Gameleira,Terra,Bloq. BR-101,"Jornada Nac.de Luta por R. A.",17/4/2013,130,,Reforma Agrária,Land reform,,,
Pernambuco,Goiana,Terra,Bloq. BR-101,"Jornada deLuta das MulheresCamponesas",8/3/2013,,,Reforma Agrária/ Políticas públicas,Agrarian Reform/Public Policies,,,
Pernambuco,Goiana,Terra,Bloq. BR-101,"Jornada Nac.de Luta por R. A.",17/4/2013,600,,Reforma Agrária,Land reform,,,
Pernambuco,Ibimirim,Terra,Bloq. PE-180,"Jornada Nac.de Luta por R. A.",17/4/2013,300,,Reforma Agrária,Land reform,,,
Pernambuco,Jatobá,Questão Indígena,Bloq. BR-116,"Mob. Nac.Indígena contra PEC 215",5/10/2013,,,Demarcação de área indígena/ Políticas p ú b  l ic a s,Indigenous Area Demarcation/Public Policies,,,
Pernambuco,Lagoa Grande,Terra,Bloq. BR-428,"Assent.Catalunha",26/11/2013,,,Infraestrutura/ Educação/ Políticas públicas,Infrastructure/Education/Public Policies,,,
Pernambuco,Moreno,Terra,Bloq. BR-232,Eng. Una,19/11/2013,100,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Pernambuco,Moreno,Água,Bloq. BR-232,"Barragem doEng. Pereira",24/9/2013,50,,Reassentamento/ Indenização,Resettlement/Indemnity,,,
Pernambuco,Moreno,Terra,Bloq. BR-232,"Jornada Nac.de Luta por R. A.",17/4/2013,350,,Reforma Agrária,Land reform,,,
Pernambuco,Palmares,Água,Bloq. PE-103,"BarragemSerro Azul",25/11/2013,300,,Cumprimento de acordos/ Reassentamento/ Indenização,Compliance/Settlement/Indemnity,,,
Pernambuco,Pesqueira,Política Agrícola,Bloq. BR-232,"Dia de Luta porSoberania Alimentar",16/10/2013,150,,Contra Transgênicos/ Contra monocultura/ Soberania alimentar/ Contra agrotóxicos,Against GMOs/Against monoculture/Food sovereignty/Against agrochemicals,,,
Pernambuco,Pesqueira,Terra,Bloq. BR-232,"Jornada Nac.de Luta por R. A.",17/4/2013,120,,Reforma Agrária,Land reform,,,
Pernambuco,Santa Maria da Boa Vista,Terra,Bloq. BR-422,"Jornada Nac.de Luta por R. A.",17/4/2013,300,,Reforma Agrária,Land reform,,,
Pernambuco,São Lourenço da Mata,Terra,Bloq. BR-101,"Jornada Nac.de Luta por R. A.",17/4/2013,300,,Reforma Agrária,Land reform,,,
Pernambuco,Sertânia,Questão Indígena,Bloq. BR-232,"Mob. Nac.Indígena contra PEC 215",5/10/2013,800,,Cumprimento de acordos/ Demarcação de área indígena/ Políticas p ú b  l ic a s,Compliance with agreements/Demarcation of the indigenous area/P ulb ic ic policies,,,
Pernambuco,Xexéu,Terra,Bloq. BR-101,"Jornada Nac.de Luta por R. A.",17/4/2013,200,,Reforma Agrária,Land reform,,,
Piauí,Nazária,Terra,Bloqueio da PI-135,,3/9/2013,200,,Infraestrutura,Infrastructure,,,
Rio Grande do Norte,Apodi,Questões ambientais,Bloq. BR-304,"Contra Proj.Irrig. Santa Cruz do Apodi",16/12/2013,300,,Questões ambientais/ Contra Expropriação,Environmental Issues/Against Expropriation,,,
Rio Grande do Norte,Apodi,Questões ambientais,Bloq. BR-101,"Contra Proj.Irrig. Santa Cruz do Apodi",16/12/2013,300,,Questões ambientais/ Contra Expropriação,Environmental Issues/Against Expropriation,,,
Rio Grande do Norte,Apodi,Questões ambientais,Bloq. da BR-405,"Proj. Irrig.Sta. Cruz do Apodi",24/7/2013,,,Questões ambientais/ Contra Expropriação,Environmental Issues/Against Expropriation,,,
Rio Grande do Norte,Apodi,Questões ambientais,Bloq. da BR-405,"Proj. Irrig.Sta Cruz do Apodi",16/12/2013,300,,Questões ambientais/ Contra Expropriação,Environmental Issues/Against Expropriation,,,
Rio Grande do Norte,Ceará-Mirim,Terra,Bloq. BR-406,"Us. AçucareiraSão Francisco",26/2/2013,400,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Rio Grande do Norte,Ceará-Mirim,Terra,"Bloqueio na BR-406 eBR-101",,19/9/2013,,,Reforma Agrária,Land reform,,,
Rio Grande do Norte,Ielmo Marinho,Terra,Bloqueio da RN-064,,21/10/2013,50,,Infraestrutura,Infrastructure,,,
Rio Grande do Norte,Macaíba,Terra,Bloq. BR-406,"Fazs. Gaia eCatanduva",26/2/2013,60,,Contra a injustiça e a violência/ Reforma Agrária/ Políticas p ú b  l ic a s,Against injustice and violence/Agrarian Reform/P a b ic ic policies,,,
Rio Grande do Norte,Macaíba,Terra,Bloq. BR-406,"Jornada deLuta por R. A.",18/4/2013,950,,Educação/ Saúde/ Reforma Agrária,Education/Health/Agrarian Reform,,,
Rio Grande do Norte,Mossoró,Terra,Bloq. BR-304,"Protesto por R.A .",26/2/2013,500,,Contra a injustiça e a violência/ Reforma Agrária/ Políticas p ú b  l ic a s,Against injustice and violence/Agrarian Reform/P a b ic ic policies,,Intimidação,Bullying
Rio Grande do Norte,Natal,Terra,Bloq. BR-101,"Protesto por R.A.",16/5/2013,,,Infraestrutura/ Reforma Agrária/ Água/ Políticas p ú b  l ic a s,Infrastructure/Agrarian Reform/Water/Public Policies,,,
Rio Grande do Norte,São Gonçalo do Amarante,Terra,Bloq. RN-160,"Acamp. MariaAparecida",13/5/2013,55,,Educação/ Saúde/ Reforma Agrária/ Políticas públicas,Education/Health/Agrarian Reform/Public Policies,,,
Rio Grande do Norte,Taipu,Terra,Bloq. BR-406,"Faz.Livramento",10/9/2013,250,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Rio Grande do Norte,Tibau,Terra,Bloq. RN-013,"Com. Lagoa deSalsa e Vila Nova",12/2/2013,200,,Regularização fundiária/ Políticas públicas,Land tenure regulation/Public policies,,,
Rio Grande do Sul,Carazinho,Terra,"Bloq. Pça. Pedágio no Km166 da BR-386",,12/7/2013,500,,Educação/ Reforma Agrária,Education/Agrarian Reform,,,
Rio Grande do Sul,Mato Castelhano,Questão Indígena,Bloqueio da BR-285,,3/6/2013,48,,Demarcação de área indígena,Demarcation of indigenous area,,,
Rio Grande do Sul,Mato Castelhano,Questão Indígena,Bloqueio da BR-285,,5/6/2013,300,,Indenização/ Demarcação de área indígena,Indemnification/Demarcation of indigenous area,,,
Rio Grande do Sul,Santana do Livramento,Terra,Bloq. da BR-158,Km 506,3/7/2013,150,,Infraestrutura,Infrastructure,,,
Rio Grande do Sul,Santo Ângelo,Política Agrícola,"Bloq. TrevoEntre-Ijuís",BR-285,19/4/2013,5000,,Crédito/ Incentivos à pequena produção,Small Production Credit/Incentives,,,
Rondônia,Ariquemes,Terra,Bloq. da BR-364,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Assentamento de famílias/ Contra agrotóxicos,Against injustice and violence/Against impunity/Settlement of families/Against agrochemicals,,,
Rondônia,Itapuã do Oeste,Água,Bloqueio da BR-364,,16/12/2013,,,Infraestrutura/ Reassentamento,Infrastructure/Resettlement,,,
Rondônia,Jaru,Terra,Bloq. da BR-364,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Assentamento de famílias/ Contra agrotóxicos,Against injustice and violence/Against impunity/Settlement of families/Against agrochemicals,,,
Rondônia,Ouro Preto do Oeste,Terra,Bloq. da BR-364,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Assentamento de famílias/ Contra agrotóxicos,Against injustice and violence/Against impunity/Settlement of families/Against agrochemicals,,,
Rondônia,Porto Velho,Terra,Bloq. da BR-364,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,300,,Contra a injustiça e a violência/ Contra impunidade/ Assentamento de famílias/ Contra agrotóxicos,Against injustice and violence/Against impunity/Settlement of families/Against agrochemicals,,,
Rondônia,Presidente Médici,Terra,Bloq. da BR-364,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Assentamento de famílias/ Contra agrotóxicos,Against injustice and violence/Against impunity/Settlement of families/Against agrochemicals,,,
Rondônia,Vilhena,Terra,"Bloq. do Trevo de Acesso àsRod. BR-364 e RO-435",,11/7/2013,,,Reforma Agrária,Land reform,,,
Roraima,Boa Vista,Questão Indígena,Bloq. da BR - 174,"T. I.Raposa Serra do Sol",22/10/2013,1000,,Demarcação de área indígena,Demarcation of indigenous area,,,
Roraima,Boa Vista,Questão Indígena,Bloqueio da BR-174,"WaimiriAtrori",7/9/2013,,,Questão Indígena,Indigenous Issues,,,
Roraima,Cantá,Política Agrícola,Bloq. da BR- 432," Assent.Tatajuba",30/9/2013,200,,Infraestrutura,Infrastructure,,,
Roraima,Iracema,Terra,Bloqueio da BR-174,,30/7/2013,200,,Infraestrutura/ Educação/ Saúde,Infrastructure/Education/Health,,,
Roraima,Rorainópolis,Terra,Bloq. da Vicinal 41,"P. A.Sucuruji",6/9/2013,20,,Infraestrutura,Infrastructure,,,
Roraima,Florianópolis,Água,Bloq. da SC-402,"Assoc. dosPescadores Rio Ratones",23/8/2013,,,Defesa da água e do meio ambiente,Defense of water and the environment,,,
Roraima,Palhoça,Questão Indígena,Bloq. da BR-101,"T.I. Morrodos Cavalos",2/10/2013,100,,Contra a injustiça e a violência/ Demarcação de área indígena,Against injustice and violence/Demarcation of indigenous area,,,
São Paulo,Assis,Terra,Bloq. Rodovia SP - 284,,24/4/2013,40,,Reforma Agrária/ Assentamento de famílias,Land Reform/Settlement of Families,,,
São Paulo,Euclides da Cunha Paulista,Terra,Bloq. Rod. Arlindo Bétio,"SP -613",27/8/2013,,,Crédito/ Reforma Agrária,Credit/Agrarian Reform,,,
São Paulo,Paraguaçu Paulista,Terra,Bloq. de Estradas,"JornadaNac. de Lutas",17/4/2013,300,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
São Paulo,Penápolis,Terra,"Bloq. Rod. MarechalRondon",Grito dos Excluídos,7/9/2013,200,,Desapropriação/ Reforma Agrária,Expropriation/Agrarian Reform,,,
São Paulo,Promissão,Terra,Bloqueio da BR - 153,,3/7/2013,100,,Crédito/ Assentamento de famílias,Credit/Family Settlement,,,
São Paulo,Ribeirão Preto,Terra,"Bloq.da Rod.Anhanguera","Jornada Nac. deLutas",17/4/2013,150,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
São Paulo,Ribeirão Preto,Terra,"Bloq. da RodoviaAnhanguera",,30/8/2013,200,,Educação/ Saúde/ Reforma Agrária/ Seguridade social,Education/Health/Agrarian Reform/Social Security,,,
São Paulo,São Paulo,Questão Indígena,"Bloq. Rod.Bandeirantes","Contra PEC215",26/9/2013,,,Demarcação de área indígena,Demarcation of indigenous area,,,
São Paulo,Serrana,Terra,Bloq. Rodovia Abrão Assed,,18/10/2013,,,Desapropriação,Expropriation,,,
São Paulo,Teodoro Sampaio,Terra,"Bloq. da Rodovia GeneralEuclides Figueiredo",,27/8/2013,,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Sergipe,Canindé de São Francisco,Terra,"Bloq. de RodoviaEstadual","Memória MassacreEldorado dos Carajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Carira,Terra,Bloq. BR-101,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Gararu,Terra,"Bloq. de RodoviaEstadual","Memória MassacreEldorado dos Carajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Itabaiana,Terra,Bloq. BR-101,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Itaporanga da Ajuda,Terra,Bloq. BR-101,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Itaporanga da Ajuda,Indefinida,Bloqueio da BR-101,,27/11/2013,,,Infraestrutura,Infrastructure,,,
Sergipe,Lagarto,Terra,"Bloq. de RodoviaEstadual","Memória MassacreEldorado dos Carajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Malhador,Terra,"Bloq. de RodoviaEstadual","Memória MassacreEldorado dos Carajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Pinhão,Terra,Bloq. BR-235,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Poço Redondo,Terra,Bloq. da SE-175,"Assent.Barra da Onça",9/1/2013,,,Crédito/ Políticas p ú b  l ic a s,Credit/Debt Policies,,,
Sergipe,Ribeirópolis,Terra,Bloq. BR-235,"MemóriaMassacre Eldorado dosCarajás",17/4/2013,,,Contra a injustiça e a violência/ Contra impunidade/ Reforma Agrária,Against injustice and violence/Against impunity/Agrarian Reform,,,
Sergipe,Santo Amaro das Brotas,Terra,Bloqueio da SE-100,,17/10/2013,,,Contra monocultura/ Reforma Agrária,Against Monoculture/Agrarian Reform,,,
Tocantins,Aliança do Tocantins,Terra,Bloq. da BR-153,"Jorn. Nac.de Lutas das Mulheres",7/3/2013,500,,Contra monocultura/ Reforma Agrária,Against Monoculture/Agrarian Reform,,,
Tocantins,Fortaleza do Tabocão,Terra,Bloqueio da BR - 153,,16/10/2013,500,,Reforma Agrária/ Assentamento de famílias/ Contra agrotóxicos,Agrarian Reform/Settlement of families/Contra agrotóxicos,,,
Tocantins,Porto Nacional,Terra,"Bloqueio da Belém-Brasília",BR-010,11/7/2013,75,,Reforma Agrária,Land reform,,,
Acre,Rio Branco,Terra,"Bloq. Rod.Transacreana","SeringalC a c h o e  ir a",09/09/2015,,,Infraestrutura,Infrastructure,,,
Acre,Rio Branco,Terra,"Bloq. da EstradaTransacreana","Seringal SãoFrancisco do Espalha eOutros",01/08/2015,60,,Regularização fundiária/ Infraestrutura,Land regularization/Infrastructure,,,
Acre,Rio Branco,Questão Indígena,Bloq. da BR-364,"ContraPEC-215",23/10/2015,300,,Questão Indígena,Indigenous Issues,,,
Alagoas,Atalaia,Terra,Bloq. BR-316,"Jor. por Ref.Agrária",15/04/2015,,,Contra a injustiça e a violência/ Questões trabalhistas/ Reforma Agrária/ Água/ Contra mineradoras,Against injustice and violence/Labor issues/Agrarian Reform/Water/Mining,,,
Alagoas,Delmiro Gouveia,Questão Indígena,Bloq. BR-101,"ContraPEC-215",27/10/2015,,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Flexeiras,Terra,Bloq. BR-101,"Jor. por Ref.Agrária",15/04/2015,,,Contra a injustiça e a violência/ Questões trabalhistas/ Reforma Agrária/ Água/ Contra mineradoras,Against injustice and violence/Labor issues/Agrarian Reform/Water/Mining,,,
Alagoas,Joaquim Gomes,Questão Indígena,Bloq. BR-101,"ContraPEC-215",22/10/2015,,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Joaquim Gomes,Questão Indígena,Bloq. BR-101,"ContraPEC-215",27/10/2015,,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Joaquim Gomes,Terra,Bloq. BR-101,"Jor. por Ref.Agrária",15/04/2015,,,Contra a injustiça e a violência/ Questões trabalhistas/ Reforma Agrária/ Água/ Contra mineradoras,Against injustice and violence/Labor issues/Agrarian Reform/Water/Mining,,,
Alagoas,Messias,Questão Indígena,Bloq. BR-101,"ContraPEC-215",27/10/2015,,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Novo Lino,Questão Indígena,Bloq. BR-101,"ContraPEC-215",27/10/2015,,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Porto Real do Colégio,Questão Indígena,Bloq. BR-101,"ContraPEC-215",27/10/2015,,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Porto Real do Colégio,Questão Indígena,Bloq. BR-101,"Contra PEC215",22/10/2015,100,,Cumprimento de acordos/ Demarcação de área indígena,Compliance with Indigenous Accords/Demarcation,,,
Alagoas,Porto Real do Colégio,Água,Bloq. BR-101,"Colônia dePescadores D-36",28/01/2015,300,,Seguro defeso/ Políticas p ú b  l ic a s,Insurance closed/P a b ic ic policies,,,
Alagoas,União dos Palmares,Terra,Bloq. BR-104,"Jor. por Ref.Agrária",15/04/2015,,,Contra a injustiça e a violência/ Questões trabalhistas/ Reforma Agrária/ Água/ Contra mineradoras,Against injustice and violence/Labor issues/Agrarian Reform/Water/Mining,,,
Bahia,Belmonte,Política Agrícola,Bloqueio da BA-275,,21/07/2015,40,,Infraestrutura,Infrastructure,,,
Bahia,Caetité,Terra,Bloq. Trecho da Fiol,"Com.Curral Velho",05/03/2015,100,,Contra a injustiça e a violência/ Indenização,Against injustice and violence/Indemnification,,,
Bahia,Caetité,Terra,Bloq. de Trecho da Fiol,"Com.Serragem e Curral Velho",05/03/2015,160,,Infraestrutura/ Indenização,Infrastructure/Indemnification,,,
Bahia,Campo Formoso,Terra,"Bloq. da Estrada de Acessoao Parque EólicoMorrinhos","Com. Borda daMata",07/05/2015,,,Cumprimento de acordos,Compliance with agreements,,,
Bahia,Ilhéus,Questão Indígena,Bloq. da BA-001,"Serra doPadeiro",04/05/2015,150,,Contra a injustiça e a violência,Against injustice and violence,,,
Bahia,Prado,Questão Indígena,Bloq. Ponte Rio do Peixe,"T. I.Cahy-Pequi",24/09/2015,,,Contra a injustiça e a violência,Against injustice and violence,,,
Bahia,Sento Sé,Água,Bloqueio da BA-210,,11/03/2015,,,Infraestrutura/ Água,Infrastructure/Water,,,
Ceará,Aquiraz,Indefinida,"Bloq. da Estrada de Acesso àResex Batoque",,07/04/2015,,,Infraestrutura,Infrastructure,,,
Distrito Federal,Brasília,Terra,Bloq. da BR-040,"Acamp. Oitode Março",11/06/2015,200,,Reforma Agrária,Land reform,,,
Distrito Federal,Brasília,Terra,Bloqueio da Epia Sul,,23/03/2015,30,,Reforma Agrária,Land reform,,,
Distrito Federal,Brasília,Terra,"Bloq. das Faixas do EixoMonumental","Jorn. Nac. deLuta por R.A",13/04/2015,,,Reforma Agrária/ Demarcação de área indígena/ Titulação de área quilombola,Agrarian Reform/Demarcation of indigenous area/Quadombola area titling,,,
Distrito Federal,Brasília,Terra,"Bloq. das Faixas daEsplanada dos Ministérios",,20/04/2015,250,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Distrito Federal,Brasília,Questão Indígena,"Bloqueio das Pistas do EixoM o n u m e n  ta  l",,08/07/2015,100,,Saúde/ Demarcação de área indígena,Indigenous Area Health/Demarcation,,,
Distrito Federal,Brasília,Terra,"Bloqueio das Faixas do EixoMonumental",,01/10/2015,100,,Reforma Agrária/ Contra agrotóxicos,Agrarian Reform/Against agrochemicals,,,
Distrito Federal,Brasília,Questão Indígena,Bloqueio da BR-040,"ContraPEC-215",09/11/2015,200,,Questão Indígena,Indigenous Issues,,,
Distrito Federal,São Sebastião,Terra,Bloqueio da BR-251,,23/03/2015,,,Reforma Agrária,Land reform,,,
Distrito Federal,Taguatinga,Terra,Bloqueio da DF-001,,24/06/2015,90,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Espírito Santo,Colatina,Terra,Bloq. da Rod. ES-259,"Jor. deLutas das MulheresCamponesas",09/03/2015,1000,,Contra monocultura/ Reforma Agrária/ Contra agrotóxicos,Against Monoculture/Agrarian Reform/Against Agrochemicals,,,
